Country,Product,2022 (USD Billion),2023 (USD Billion),2024 (USD Billion)
USA,Automobiles,63.56,62.35,60.49
France,Petroleum Products,59.61,57.17,56.38
Italy,Automobiles,24.45,25.22,24.51
UK,Automobiles,89.18,88.95,87.74
Germany,Machinery,17.79,18.18,19.8
Germany,Leather Goods,87.43,87.6,91.85
Australia,IT Services,78.38,74.73,76.42
Italy,Steel,83.14,88.76,95.18
Canada,Steel,52.03,54.75,57.68
South Korea,Machinery,59.99,65.84,68.51
France,Organic Chemicals,78.21,78.74,80.13
Australia,Gems & Jewellery,77.81,85.26,90.09
Italy,IT Services,88.44,93.63,100.49
South Korea,Pharmaceuticals,37.95,37.51,39.42
South Africa,Organic Chemicals,85.54,81.87,88.06
Australia,Gems & Jewellery,51.7,53.04,50.56
USA,Automobiles,28.04,30.36,29.28
South Korea,Electronic Goods,44.61,43.21,45.36
Australia,Automobiles,32.46,31.98,32.25
Netherlands,Electronic Goods,70.04,69.52,72.05
Canada,Machinery,94.28,92.32,91.07
UAE,Pharmaceuticals,63.72,62.53,60.63
Australia,Textiles & Garments,67.45,73.9,80.31
Japan,IT Services,25.29,24.45,24.29
USA,IT Services,95.75,104.56,110.63
Japan,Steel,63.54,68.48,71.62
South Africa,Tea,16.4,17.06,18.53
USA,Leather Goods,27.65,30.3,32.3
UAE,Spices,24.97,24.67,24.21
UAE,Gems & Jewellery,57.34,55.02,58.06
Canada,Gems & Jewellery,57.37,59.6,58.51
Japan,Tea,93.68,89.19,88.69
Russia,Textiles & Garments,55.48,54.65,54.85
South Korea,Textiles & Garments,8.87,9.28,9.37
UK,Leather Goods,52.59,56.57,58.12
Canada,Automobiles,51.03,48.62,51.8
Italy,Engineering Goods,22.43,21.62,21.88
USA,Automobiles,17.82,17.15,18.47
Italy,Rice,59.28,60.54,64.84
Australia,Gems & Jewellery,6.29,6.3,6.14
Japan,Steel,91.82,92.99,90.5
Netherlands,Organic Chemicals,90.55,95.74,102.15
Italy,Rice,87.48,85.04,89.87
China,Steel,32.87,35.26,35.16
USA,IT Services,40.06,39.12,37.37
Canada,Electronic Goods,24.58,25.39,25.81
Brazil,Organic Chemicals,65.86,68.7,67.67
South Korea,Rice,92.62,89.77,96.95
France,Organic Chemicals,86.57,93.73,89.98
UK,Spices,14.29,14.44,13.8
USA,Spices,82.44,88.35,95.76
UK,Gems & Jewellery,37.26,35.67,35.01
South Korea,Rice,23.71,25.0,24.94
China,Petroleum Products,2.77,2.74,2.75
Japan,Machinery,77.61,77.87,82.03
Brazil,Automobiles,87.95,86.41,82.35
South Korea,IT Services,33.64,33.17,32.65
Canada,Textiles & Garments,32.07,33.4,33.46
USA,Pharmaceuticals,16.87,17.41,17.6
Canada,Petroleum Products,21.04,21.75,21.24
Canada,Gems & Jewellery,11.7,11.44,12.31
South Korea,Petroleum Products,79.71,78.34,80.3
Australia,Textiles & Garments,55.49,57.61,62.5
UK,Steel,83.11,80.71,80.56
Canada,Machinery,27.22,26.26,27.38
Germany,Machinery,41.23,40.65,40.96
Japan,Electronic Goods,12.75,12.78,13.7
Japan,Tea,83.48,89.45,95.98
Brazil,Leather Goods,57.96,56.46,58.31
Australia,Textiles & Garments,83.89,86.72,95.2
China,Petroleum Products,1.77,1.78,1.72
Germany,Engineering Goods,8.03,8.02,8.01
Russia,Organic Chemicals,69.13,72.24,73.58
South Africa,Engineering Goods,89.84,92.6,100.68
France,Machinery,50.09,52.92,55.64
Japan,Engineering Goods,2.23,2.3,2.41
Italy,Electronic Goods,35.21,35.13,36.63
Netherlands,Gems & Jewellery,9.72,9.87,10.2
South Africa,Machinery,79.0,84.18,81.88
Brazil,Spices,90.77,95.02,94.84
UAE,Organic Chemicals,66.28,70.19,74.3
Netherlands,Leather Goods,3.04,2.96,2.98
Brazil,Steel,15.37,15.69,15.12
UAE,Engineering Goods,40.92,44.82,47.11
UAE,Machinery,46.01,46.26,48.94
USA,Pharmaceuticals,78.63,75.65,72.66
Canada,Gems & Jewellery,38.52,41.19,43.87
Brazil,Steel,85.61,88.39,89.24
UK,Pharmaceuticals,19.72,18.86,18.87
UK,Machinery,57.11,59.66,64.56
South Africa,Leather Goods,80.22,77.23,83.34
USA,IT Services,10.85,11.12,10.68
Japan,Organic Chemicals,44.52,45.71,49.61
South Africa,Organic Chemicals,65.65,70.96,77.5
Russia,Engineering Goods,78.21,80.02,76.05
South Korea,Petroleum Products,96.54,94.46,95.63
UAE,Organic Chemicals,79.67,79.16,85.17
Russia,Textiles & Garments,18.18,17.27,16.41
Canada,Textiles & Garments,23.81,23.29,25.61
Brazil,Pharmaceuticals,86.5,85.08,89.71
UK,Machinery,15.63,15.09,16.42
South Africa,Electronic Goods,74.3,76.38,77.95
Brazil,Engineering Goods,65.19,68.37,72.18
France,IT Services,96.88,92.13,90.21
Australia,Automobiles,20.46,21.62,22.58
Australia,Spices,41.54,44.37,43.87
South Korea,Electronic Goods,76.61,77.86,85.22
Japan,Petroleum Products,66.9,72.15,71.89
China,Machinery,61.59,67.58,69.07
South Korea,Machinery,20.42,20.42,20.05
Germany,Leather Goods,4.11,4.14,4.33
Russia,Gems & Jewellery,52.62,55.98,56.93
China,Rice,81.62,81.05,80.56
UAE,Pharmaceuticals,64.76,70.93,74.7
Italy,Gems & Jewellery,19.07,20.74,20.24
Japan,Petroleum Products,22.74,24.48,24.06
UAE,Engineering Goods,73.44,73.02,69.82
UAE,Automobiles,45.33,44.41,46.37
Canada,Pharmaceuticals,32.45,34.48,36.48
Russia,Gems & Jewellery,1.57,1.63,1.77
Canada,Leather Goods,89.39,93.26,90.73
Canada,Tea,21.79,22.53,22.78
Brazil,Organic Chemicals,71.25,68.06,67.25
UK,Pharmaceuticals,11.75,11.97,11.76
South Africa,Textiles & Garments,90.39,89.08,97.8
Japan,Tea,75.12,82.59,86.65
UK,Steel,79.36,79.22,81.05
Australia,Leather Goods,56.9,59.09,62.07
UAE,Leather Goods,98.37,101.87,102.89
China,Petroleum Products,41.84,39.82,39.25
Germany,Pharmaceuticals,61.29,59.93,62.64
UAE,Machinery,68.2,69.58,72.92
China,Steel,16.15,17.27,16.92
Germany,Engineering Goods,80.01,83.79,79.73
South Africa,Tea,75.75,74.82,79.77
USA,Electronic Goods,53.33,56.01,60.16
Canada,Leather Goods,44.04,43.53,44.97
Canada,Textiles & Garments,95.63,92.78,97.01
Brazil,Organic Chemicals,90.62,95.77,105.29
Japan,Steel,62.43,64.98,69.53
Australia,Textiles & Garments,42.73,46.03,46.88
Germany,Petroleum Products,12.25,12.66,12.72
UAE,Automobiles,47.19,47.49,51.57
China,Machinery,4.29,4.5,4.86
China,Pharmaceuticals,15.96,17.07,17.29
South Africa,Engineering Goods,30.07,30.11,29.13
Netherlands,Gems & Jewellery,27.37,28.61,28.08
Netherlands,Pharmaceuticals,52.79,54.1,57.41
USA,Organic Chemicals,15.73,16.26,16.01
UK,Machinery,78.92,79.67,83.82
Russia,Engineering Goods,30.51,33.13,32.75
Netherlands,Tea,65.95,68.55,69.04
Italy,Organic Chemicals,47.26,49.6,47.71
Japan,Spices,21.9,23.57,25.23
South Korea,Pharmaceuticals,10.02,10.17,9.67
Russia,Gems & Jewellery,84.26,90.47,90.29
UK,Textiles & Garments,61.24,66.45,71.87
UK,Rice,95.55,99.0,96.09
UK,Pharmaceuticals,57.71,58.6,58.57
Russia,Textiles & Garments,77.15,83.57,82.82
UAE,Machinery,40.23,42.37,43.41
